Date,Open,High,Low,Close,Adj Close,Volume
2013-08-01,32.619999,33.650002,31.559999,31.860001,27.280752,346619900
2013-09-01,32.169998,34.340000,31.820000,33.169998,28.402468,454916400
2013-10-01,33.200001,33.950001,32.000000,33.500000,28.685043,421757800
2013-11-01,33.700001,35.419998,33.410000,35.290001,30.327248,323481000
2013-12-01,35.369999,38.340000,33.220001,38.259998,32.879585,468655300
2014-01-01,37.779999,38.770000,36.490002,36.900002,31.710842,334053900
2014-02-01,37.090000,39.369999,35.439999,39.110001,33.716980,254578900
2014-03-01,38.720001,41.430000,37.380001,40.910000,35.268764,439593500
2014-04-01,41.040001,42.000000,38.970001,40.880001,35.242901,384502100
2014-05-01,40.720001,42.349998,40.490002,42.020000,36.333698,267018700
2014-06-01,41.959999,43.189999,39.930000,40.529999,35.045330,325033500
2014-07-01,40.410000,41.360001,39.860001,40.389999,34.924286,279906500
2014-08-01,40.189999,42.040001,39.529999,41.529999,36.014553,206012100
2014-09-01,41.599998,42.090000,38.139999,38.279999,33.196175,412463900
2014-10-01,38.320000,39.240002,35.820000,39.049999,33.863918,355956700
2014-11-01,39.020000,42.509998,38.759998,42.410000,36.891514,210679600
2014-12-01,42.009998,46.709999,39.919998,44.970001,39.118393,352611500
2015-01-01,45.020000,45.330002,41.820000,41.889999,36.439175,314380300
2015-02-01,42.209999,44.369999,41.560001,43.820000,38.221516,215892600
2015-03-01,43.810001,44.939999,41.259998,43.150002,37.637104,345114300
2015-04-01,42.990002,44.900002,42.209999,43.619999,38.047062,278212900
2015-05-01,43.439999,44.849998,43.000000,43.490002,38.066635,182137100
2015-06-01,43.840000,45.240002,40.110001,40.299999,35.274445,434762400
2015-07-01,40.610001,41.020000,38.439999,39.939999,34.959335,301140700
2015-08-01,39.950001,40.049999,35.139999,37.090000,32.585854,302328700
2015-09-01,36.330002,38.520000,35.240002,36.119999,31.733648,392290700
2015-10-01,36.230000,39.040001,35.639999,38.840000,34.123333,317458000
2015-11-01,39.049999,40.639999,37.220001,38.970001,34.373615,294568100
2015-12-01,39.090000,39.389999,36.099998,36.529999,32.221409,372973000
2016-01-01,36.009998,36.310001,33.130001,36.310001,32.027370,391896800
2016-02-01,35.900002,37.650002,34.470001,36.779999,32.575699,305532100
2016-03-01,37.150002,42.000000,37.040001,40.910000,36.233597,360720500
2016-04-01,40.680000,41.490002,39.369999,39.860001,35.303619,218455900
2016-05-01,39.900002,40.430000,38.560001,40.200001,35.737476,206836000
2016-06-01,40.060001,41.160000,38.080002,40.930000,36.386448,433566700
2016-07-01,40.779999,41.910000,40.020000,41.040001,36.484234,233266600
2016-08-01,40.910000,41.639999,40.580002,41.220001,36.779030,222835900
2016-09-01,40.980000,41.419998,38.709999,39.279999,35.048046,295522300
2016-10-01,39.200001,39.340000,37.619999,38.419998,34.280708,218446600
2016-11-01,38.580002,40.740002,37.980000,40.189999,35.998928,262307700
2016-12-01,40.110001,41.139999,37.639999,38.450001,34.440376,308408300
2017-01-01,38.450001,40.389999,38.299999,40.110001,35.927280,244705900
2017-02-01,40.220001,43.259998,39.680000,42.590000,38.298050,224207000
2017-03-01,42.750000,46.990002,42.250000,44.610001,40.114502,359649800
2017-04-01,44.680000,45.049999,43.759998,44.959999,40.429234,216228100
2017-05-01,45.009998,45.779999,43.599998,45.389999,40.991749,218152500
2017-06-01,45.520000,51.849998,43.740002,50.139999,45.281475,389250600
2017-07-01,50.049999,51.360001,48.770000,49.930000,45.091824,220653800
2017-08-01,50.150002,50.520000,47.980000,50.330002,45.624516,216932100
2017-09-01,50.349998,53.139999,47.639999,48.349998,43.829632,405925500
2017-10-01,48.720001,51.279999,48.000000,50.900002,46.141228,314059300
2017-11-01,51.099998,51.169998,48.200001,49.060001,44.648666,246059100
2017-12-01,49.049999,50.709999,47.000000,47.279999,43.028717,364528300
2018-01-01,47.570000,52.790001,46.169998,51.590000,46.951180,348599900
2018-02-01,51.360001,51.980000,45.919998,50.669998,46.293480,290684300
2018-03-01,50.959999,53.480000,44.509998,45.750000,41.798435,435423200
2018-04-01,45.650002,47.290001,44.040001,45.669998,41.725346,286580100
2018-05-01,45.389999,47.540001,44.490002,46.720001,42.861378,253549200
