,cik_str,ticker,title
0,320193,AAPL,Apple Inc.
1,789019,MSFT,MICROSOFT CORP
2,1652044,GOOGL,Alphabet Inc.
3,1018724,AMZN,AMAZON COM INC
4,1045810,NVDA,NVIDIA CORP
5,1318605,TSLA,"Tesla, Inc."
6,1067983,BRK-B,BERKSHIRE HATHAWAY INC
7,1326801,META,"Meta Platforms, Inc."
8,1046179,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD
9,1403161,V,VISA INC.
10,824046,LVMUY,LVMH MOET HENNESSY LOUIS VUITTON
11,731766,UNH,UNITEDHEALTH GROUP INC
12,59478,LLY,ELI LILLY & Co
13,34088,XOM,EXXON MOBIL CORP
14,19617,JPM,JPMORGAN CHASE & CO
15,104169,WMT,Walmart Inc.
16,200406,JNJ,JOHNSON & JOHNSON
17,884394,SPY,SPDR S&P 500 ETF TRUST
18,1141391,MA,Mastercard Inc
19,1730168,AVGO,Broadcom Inc.
20,80424,PG,PROCTER & GAMBLE Co
21,353278,NVO,NOVO NORDISK A S
22,1047716,LTMAY,LATAM AIRLINES GROUP S.A.
23,1545460,OLCLY,"Oriental Land Co., Ltd./ADR"
24,1341439,ORCL,ORACLE CORP
25,354950,HD,"HOME DEPOT, INC."
26,93410,CVX,CHEVRON CORP
27,937966,ASML,ASML HOLDING NV
28,310158,MRK,"Merck & Co., Inc."
29,21344,KO,COCA COLA CO
30,77476,PEP,PEPSICO INC
31,909832,COST,COSTCO WHOLESALE CORP /NEW
32,1551152,ABBV,AbbVie Inc.
33,70858,BAC,BANK OF AMERICA CORP /DE/
34,796343,ADBE,ADOBE INC.
35,1094517,TM,TOYOTA MOTOR CORP/
36,811809,BHP,BHP Group Ltd
37,1577552,BABA,Alibaba Group Holding Ltd
38,63908,MCD,MCDONALDS CORP
39,858877,CSCO,"CISCO SYSTEMS, INC."
40,1114448,NVS,NOVARTIS AG
41,78003,PFE,PFIZER INC
42,1108524,CRM,"Salesforce, Inc."
43,1306965,SHEL,Shell plc
44,901832,AZN,ASTRAZENECA PLC
45,1061736,FMX,MEXICAN ECONOMIC DEVELOPMENT INC
46,97745,TMO,THERMO FISHER SCIENTIFIC INC.
47,1467373,ACN,Accenture plc
48,1065280,NFLX,NETFLIX INC
49,2488,AMD,ADVANCED MICRO DEVICES INC
