,Name,Market Cap,Price,Country
0,Apple,$3.030 T,$191.33,🇺🇸 USA
1,Microsoft,$2.533 T,$338.15,🇺🇸 USA
2,Alphabet (Google),$1.553 T,$122.63,🇺🇸 USA
3,Amazon,$1.337 T,$130.38,🇺🇸 USA
4,NVIDIA,$1.045 T,$423.17,🇺🇸 USA
5,Tesla,$895.32 B,$282.48,🇺🇸 USA
6,Meta Platforms (Facebook),$756.63 B,$294.37,🇺🇸 USA
7,Berkshire Hathaway,$744.26 B,$341.56,🇺🇸 USA
8,Visa,$500.46 B,$239.45,🇺🇸 USA
9,Eli Lilly,$442.07 B,$465.70,🇺🇸 USA
10,UnitedHealth,$441.25 B,$471.22,🇺🇸 USA
11,Exxon Mobil,$432.23 B,$106.91,🇺🇸 USA
12,Walmart,$425.76 B,$158.11,🇺🇸 USA
13,Johnson & Johnson,$423.09 B,$162.81,🇺🇸 USA
14,JPMorgan Chase,$422.68 B,$144.64,🇺🇸 USA
15,Mastercard,$373.43 B,$394.73,🇺🇸 USA
16,Procter & Gamble,$358.82 B,$152.24,🇺🇸 USA
17,Broadcom,$355.67 B,$861.86,🇺🇸 USA
18,Oracle,$314.74 B,$115.96,🇺🇸 USA
19,Home Depot,$313.09 B,$310.80,🇺🇸 USA
20,Chevron,$292.47 B,$156.31,🇺🇸 USA
21,Merck,$291.18 B,$113.70,🇺🇸 USA
22,Coca-Cola,$263.92 B,$61.03,🇺🇸 USA
23,Pepsico,$257.04 B,$186.58,🇺🇸 USA
24,AbbVie,$242.80 B,$137.62,🇺🇸 USA
25,Costco,$239.80 B,$541.13,🇺🇸 USA
26,Bank of America,$231.74 B,$29.08,🇺🇸 USA
27,Adobe,$223.50 B,$487.26,🇺🇸 USA
28,McDonald,$216.76 B,$296.90,🇺🇸 USA
29,Cisco,$209.90 B,$51.51,🇺🇸 USA
30,Salesforce,$208.26 B,$213.82,🇺🇸 USA
31,Pfizer,$205.99 B,$36.46,🇺🇸 USA
32,Thermo Fisher Scientific,$200.80 B,$520.60,🇺🇸 USA
33,Netflix,$198.22 B,$445.90,🇺🇸 USA
34,Abbott Laboratories,$189.84 B,$107.37,🇺🇸 USA
35,AMD,$183.50 B,$113.95,🇺🇸 USA
36,Danaher,$175.16 B,$237.38,🇺🇸 USA
37,Comcast,$172.92 B,$41.48,🇺🇸 USA
38,T-Mobile US,$167.45 B,$139.56,🇺🇸 USA
39,Nike,$166.51 B,$107.10,🇺🇸 USA
40,Walt Disney,$164.07 B,$89.79,🇺🇸 USA
41,Wells Fargo,$163.14 B,$43.48,🇺🇸 USA
42,Texas Instruments,$160.22 B,$176.53,🇺🇸 USA
43,Verizon,$157.56 B,$37.48,🇺🇸 USA
44,United Parcel Service,$154.57 B,$179.97,🇺🇸 USA
45,Nextera Energy,$151.65 B,$74.95,🇺🇸 USA
46,Philip Morris,$151.26 B,$97.45,🇺🇸 USA
47,Raytheon Technologies,$143.54 B,$98.24,🇺🇸 USA
48,Morgan Stanley,$143.49 B,$85.92,🇺🇸 USA
49,Honeywell,$137.41 B,$206.43,🇺🇸 USA
50,Bristol-Myers Squibb,$135.98 B,$64.73,🇺🇸 USA
51,Intel,$135.59 B,$32.51,🇺🇸 USA
52,Lowe's Companies,$132.13 B,$225.49,🇺🇸 USA
53,American Express,$130.49 B,$175.57,🇺🇸 USA
54,QUALCOMM,$130.48 B,$117.13,🇺🇸 USA
55,Boeing,$128.47 B,$213.31,🇺🇸 USA
56,Intuit,$128.22 B,$457.84,🇺🇸 USA
57,S&P Global,$128.19 B,$399.60,🇺🇸 USA
58,Caterpillar,$126.41 B,$244.83,🇺🇸 USA
59,ConocoPhillips,$125.87 B,$104.02,🇺🇸 USA
60,Union Pacific Corporation,$124.32 B,$203.91,🇺🇸 USA
61,IBM,$121.89 B,$134.24,🇺🇸 USA
62,Amgen,$120.69 B,$225.88,🇺🇸 USA
63,Applied Materials,$119.46 B,$142.26,🇺🇸 USA
64,Deere & Company,$118.64 B,$404.66,🇺🇸 USA
65,General Electric,$118.45 B,$108.65,🇺🇸 USA
66,Lockheed Martin,$117.19 B,$462.76,🇺🇸 USA
67,Intuitive Surgical,$116.99 B,$333.89,🇺🇸 USA
68,ServiceNow,$115.26 B,$565.76,🇺🇸 USA
69,AT&T,$114.88 B,$16.07,🇺🇸 USA
70,Prologis,$114.50 B,$123.99,🇺🇸 USA
71,Stryker Corporation,$112.88 B,$297.37,🇺🇸 USA
72,Starbucks,$112.87 B,$98.46,🇺🇸 USA
73,Goldman Sachs,$106.39 B,$320.05,🇺🇸 USA
74,Elevance Health,$105.02 B,$443.03,🇺🇸 USA
75,BlackRock,$103.76 B,$692.83,🇺🇸 USA
76,Charles Schwab,$103.17 B,$56.69,🇺🇸 USA
77,Mondelez,$99.71 B,$73.22,🇺🇸 USA
78,Booking Holdings (Booking.com),$98.76 B,"$2,674",🇺🇸 USA
79,TJX Companies,$97.34 B,$84.70,🇺🇸 USA
80,Gilead Sciences,$96.76 B,$77.24,🇺🇸 USA
81,Analog Devices,$95.26 B,$190.00,🇺🇸 USA
82,American Tower,$92.44 B,$198.36,🇺🇸 USA
83,Marsh & McLennan Companies,$92.03 B,$186.03,🇺🇸 USA
84,Automatic Data Processing,$91.20 B,$219.70,🇺🇸 USA
85,Citigroup,$91.10 B,$46.80,🇺🇸 USA
86,Vertex Pharmaceuticals,$89.71 B,$348.32,🇺🇸 USA
87,CVS Health,$89.21 B,$69.59,🇺🇸 USA
88,Uber,$88.52 B,$43.66,🇺🇸 USA
89,Lam Research,$84.44 B,$628.58,🇺🇸 USA
90,HCA Healthcare,$83.70 B,$298.35,🇺🇸 USA
91,Cigna,$83.06 B,$280.75,🇺🇸 USA
92,Airbnb,$82.99 B,$131.69,🇺🇸 USA
93,Altria Group,$82.07 B,$45.98,🇺🇸 USA
94,Palo Alto Networks,$78.87 B,$257.88,🇺🇸 USA
95,Regeneron Pharmaceuticals,$78.75 B,$717.83,🇺🇸 USA
96,Zoetis,$78.25 B,$169.35,🇺🇸 USA
97,Southern Company,$78.15 B,$71.68,🇺🇸 USA
98,Fiserv,$77.10 B,$124.90,🇺🇸 USA
99,Progressive,$76.93 B,$131.43,🇺🇸 USA
