,Unnamed: 0,name,market_cap,price,cik_str,ticker,title_searchable,title_confirmed,tech_or_non_tech,ten_k_document_link,actual_full_ten_k_document_link
0,0,Apple,$3.030 T,$191.33,320193,AAPL,Apple Inc.,apple inc. (aapl),tech,https://www.sec.gov//Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm
1,1,Microsoft,$2.533 T,$338.15,789019,MSFT,MICROSOFT CORP,,tech,https://www.sec.gov//Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm
2,2,Alphabet (Google),$1.553 T,$122.63,1652044,GOOG,Alphabet Inc.,,tech,https://www.sec.gov//Archives/edgar/data/1652044/000165204423000016/0001652044-23-000016-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm
3,3,Amazon,$1.337 T,$130.38,1018724,AMZN,AMAZON COM INC,,tech,https://www.sec.gov//Archives/edgar/data/1018724/000101872423000004/0001018724-23-000004-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm
4,4,NVIDIA,$1.045 T,$423.17,1045810,NVDA,NVIDIA CORP,,tech,https://www.sec.gov//Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm
5,5,Tesla,$895.32 B,$282.48,1318605,TSLA,"Tesla, Inc.",,tech,https://www.sec.gov//Archives/edgar/data/1318605/000095017023001409/0000950170-23-001409-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm
6,6,Meta Platforms (Facebook),$756.63 B,$294.37,1326801,META,"Meta Platforms, Inc.",,tech,https://www.sec.gov//Archives/edgar/data/1326801/000132680123000013/0001326801-23-000013-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1326801/000132680123000013/meta-20221231.htm
7,7,Berkshire Hathaway,$744.26 B,$341.56,1067983,BRK-B,BERKSHIRE HATHAWAY INC,,non_tech,,
8,8,Visa,$500.46 B,$239.45,1403161,V,VISA INC.,,tech,https://www.sec.gov//Archives/edgar/data/1403161/000140316122000081/0001403161-22-000081-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1403161/000140316122000081/v-20220930.htm
9,9,Eli Lilly,$442.07 B,$465.70,59478,LLY,ELI LILLY & Co,,non_tech,https://www.sec.gov//Archives/edgar/data/59478/000005947823000082/0000059478-23-000082-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/59478/000005947823000082/lly-20221231.htm
10,10,UnitedHealth,$441.25 B,$471.22,731766,UNH,UNITEDHEALTH GROUP INC,,non_tech,https://www.sec.gov//Archives/edgar/data/731766/000073176623000008/0000731766-23-000008-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/731766/000073176623000008/unh-20221231.htm
11,11,Exxon Mobil,$432.23 B,$106.91,34088,XOM,EXXON MOBIL CORP,,non_tech,,
12,12,Walmart,$425.76 B,$158.11,104169,WMT,Walmart Inc.,,non_tech,https://www.sec.gov//Archives/edgar/data/104169/000010416923000020/0000104169-23-000020-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/104169/000010416923000020/wmt-20230131.htm
13,13,Johnson & Johnson,$423.09 B,$162.81,200406,JNJ,JOHNSON & JOHNSON,,non_tech,,
14,14,JPMorgan Chase,$422.68 B,$144.64,19617,JPM,JPMORGAN CHASE & CO,,non_tech,,
15,15,Mastercard,$373.43 B,$394.73,1141391,MA,Mastercard Inc,,tech,https://www.sec.gov//Archives/edgar/data/1141391/000114139123000020/0001141391-23-000020-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1141391/000114139123000020/ma-20221231.htm
16,16,Procter & Gamble,$358.82 B,$152.24,80424,PG,PROCTER & GAMBLE Co,,non_tech,,
17,17,Broadcom,$355.67 B,$861.86,1730168,AVGO,Broadcom Inc.,,tech,https://www.sec.gov//Archives/edgar/data/1730168/000173016822000118/0001730168-22-000118-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1730168/000173016822000118/avgo-20221030.htm
18,18,Oracle,$314.74 B,$115.96,1341439,ORCL,ORACLE CORP,,tech,,
19,19,Home Depot,$313.09 B,$310.80,354950,HD,"HOME DEPOT, INC.",,non_tech,https://www.sec.gov//Archives/edgar/data/354950/000035495023000059/0000354950-23-000059-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/354950/000035495023000059/hd-20230129.htm
20,20,Chevron,$292.47 B,$156.31,93410,CVX,CHEVRON CORP,,non_tech_unsure,,
21,21,Merck,$291.18 B,$113.70,310158,MRK,"Merck & Co., Inc.",,tech,https://www.sec.gov//Archives/edgar/data/310158/000162828023005061/0001628280-23-005061-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/310158/000162828023005061/mrk-20221231.htm
22,22,Coca-Cola,$263.92 B,$61.03,21344,KO,COCA COLA CO,,non_tech,https://www.sec.gov//Archives/edgar/data/21344/000002134423000011/0000021344-23-000011-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/21344/000002134423000011/ko-20221231.htm
23,23,Pepsico,$257.04 B,$186.58,77476,PEP,PEPSICO INC,,non_tech,https://www.sec.gov//Archives/edgar/data/77476/000007747623000007/0000077476-23-000007-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/77476/000007747623000007/pep-20221231.htm
24,24,AbbVie,$242.80 B,$137.62,1551152,ABBV,AbbVie Inc.,,non_tech,https://www.sec.gov//Archives/edgar/data/1551152/000155115223000011/0001551152-23-000011-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1551152/000155115223000011/abbv-20221231.htm
25,25,Costco,$239.80 B,$541.13,909832,COST,COSTCO WHOLESALE CORP /NEW,,non_tech,https://www.sec.gov//Archives/edgar/data/909832/000090983222000021/0000909832-22-000021-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm
26,26,Bank of America,$231.74 B,$29.08,70858,BAC,BANK OF AMERICA CORP /DE/,,non_tech,https://www.sec.gov//Archives/edgar/data/70858/000007085823000092/0000070858-23-000092-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/70858/000007085823000092/bac-20221231.htm
27,27,Adobe,$223.50 B,$487.26,796343,ADBE,ADOBE INC.,,tech,https://www.sec.gov//Archives/edgar/data/796343/000079634323000007/0000796343-23-000007-index.htm,https://www.sec.gov//Archives/edgar/data/796343/000079634323000007/adbe10kfy22unofficialpdfa.pdf
28,28,McDonald,$216.76 B,$296.90,63908,MCD,MCDONALDS CORP,,non_tech,,
29,29,Cisco,$209.90 B,$51.51,858877,CSCO,"CISCO SYSTEMS, INC.",,tech,https://www.sec.gov//Archives/edgar/data/858877/000085887722000013/0000858877-22-000013-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/858877/000085887722000013/csco-20220730.htm
30,30,Salesforce,$208.26 B,$213.82,1108524,CRM,"Salesforce, Inc.",,tech,https://www.sec.gov//Archives/edgar/data/1108524/000110852423000011/0001108524-23-000011-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1108524/000110852423000011/crm-20230131.htm
31,31,Pfizer,$205.99 B,$36.46,78003,PFE,PFIZER INC,,non_tech,,
32,32,Thermo Fisher Scientific,$200.80 B,$520.60,97745,TMO,THERMO FISHER SCIENTIFIC INC.,,tech,https://www.sec.gov//Archives/edgar/data/97745/000009774523000008/0000097745-23-000008-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/97745/000009774523000008/tmo-20221231.htm
33,33,Netflix,$198.22 B,$445.90,1065280,NFLX,NETFLIX INC,,tech,https://www.sec.gov//Archives/edgar/data/1065280/000106528023000035/0001065280-23-000035-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1065280/000106528023000035/nflx-20221231.htm
34,34,Abbott Laboratories,$189.84 B,$107.37,1800,ABT,ABBOTT LABORATORIES,,tech,,
35,35,AMD,$183.50 B,$113.95,750686,CAC,CAMDEN NATIONAL CORP,,non_tech,https://www.sec.gov//Archives/edgar/data/750686/000075068623000033/0000750686-23-000033-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/750686/000075068623000033/cac-20221231.htm
36,36,Danaher,$175.16 B,$237.38,313616,DHR,DANAHER CORP /DE/,,tech,https://www.sec.gov//Archives/edgar/data/313616/000031361623000087/0000313616-23-000087-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/313616/000031361623000087/dhr-20221231.htm
37,37,Comcast,$172.92 B,$41.48,1166691,CMCSA,COMCAST CORP,,tech,,
38,38,T-Mobile US,$167.45 B,$139.56,1283699,TMUS,"T-Mobile US, Inc.",,tech,,
39,39,Nike,$166.51 B,$107.10,320187,NKE,"NIKE, Inc.",,non_tech,https://www.sec.gov//Archives/edgar/data/320187/000032018722000038/0000320187-22-000038-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
40,40,Walt Disney,$164.07 B,$89.79,1744489,DIS,Walt Disney Co,,non_tech,,
41,41,Wells Fargo,$163.14 B,$43.48,72971,WFC,WELLS FARGO & COMPANY/MN,,non_tech,,
42,42,Texas Instruments,$160.22 B,$176.53,97476,TXN,TEXAS INSTRUMENTS INC,,tech,https://www.sec.gov//Archives/edgar/data/97476/000009747623000007/0000097476-23-000007-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/97476/000009747623000007/txn-20221231.htm
43,43,Verizon,$157.56 B,$37.48,732712,VZ,VERIZON COMMUNICATIONS INC,,tech,https://www.sec.gov//Archives/edgar/data/732712/000073271223000012/0000732712-23-000012-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/732712/000073271223000012/vz-20221231.htm
44,44,United Parcel Service,$154.57 B,$179.97,1090727,UPS,UNITED PARCEL SERVICE INC,,non_tech,https://www.sec.gov//Archives/edgar/data/1090727/000109072723000006/0001090727-23-000006-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1090727/000109072723000006/ups-20221231.htm
45,45,Nextera Energy,$151.65 B,$74.95,753308,NEE,NEXTERA ENERGY INC,,tech,https://www.sec.gov//Archives/edgar/data/753308/000075330823000019/0000753308-23-000019-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/37634/000075330823000019/nee-20221231.htm
46,46,Philip Morris,$151.26 B,$97.45,1413329,PM,Philip Morris International Inc.,,non_tech,https://www.sec.gov//Archives/edgar/data/1413329/000141332923000025/0001413329-23-000025-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1413329/000141332923000025/pm-20221231.htm
47,47,Raytheon Technologies,$143.54 B,$98.24,101829,RTX,RAYTHEON TECHNOLOGIES CORP,,tech,https://www.sec.gov//Archives/edgar/data/101829/000010182923000009/0000101829-23-000009-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/101829/000010182923000009/rtx-20221231.htm
48,48,Morgan Stanley,$143.49 B,$85.92,895421,MS,MORGAN STANLEY,,non_tech,,
49,49,Honeywell,$137.41 B,$206.43,773840,HON,HONEYWELL INTERNATIONAL INC,,tech,https://www.sec.gov//Archives/edgar/data/773840/000077384023000013/0000773840-23-000013-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/773840/000077384023000013/hon-20221231.htm
50,50,Bristol-Myers Squibb,$135.98 B,$64.73,14272,BMY,BRISTOL MYERS SQUIBB CO,,non_tech,https://www.sec.gov//Archives/edgar/data/14272/000001427223000046/0000014272-23-000046-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/14272/000001427223000046/bmy-20221231.htm
51,51,Intel,$135.59 B,$32.51,50863,INTC,INTEL CORP,,tech,https://www.sec.gov//Archives/edgar/data/50863/000005086323000006/0000050863-23-000006-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/50863/000005086323000006/intc-20221231.htm
52,52,Lowe's Companies,$132.13 B,$225.49,1047716,LTMAY,LATAM AIRLINES GROUP S.A.,,non_tech,,
53,53,American Express,$130.49 B,$175.57,4962,AXP,AMERICAN EXPRESS CO,,tech,,
54,54,QUALCOMM,$130.48 B,$117.13,804328,QCOM,QUALCOMM INC/DE,,tech,https://www.sec.gov//Archives/edgar/data/804328/000080432822000021/0000804328-22-000021-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/804328/000080432822000021/qcom-20220925.htm
55,55,Boeing,$128.47 B,$213.31,12927,BA,BOEING CO,,non_tech_unsure,https://www.sec.gov//Archives/edgar/data/12927/000001292723000007/0000012927-23-000007-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/12927/000001292723000007/ba-20221231.htm
56,56,Intuit,$128.22 B,$457.84,896878,INTU,INTUIT INC.,,tech,https://www.sec.gov//Archives/edgar/data/896878/000089687822000028/0000896878-22-000028-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/896878/000089687822000028/intu-20220731.htm
57,57,S&P Global,$128.19 B,$399.60,64040,SPGI,S&P Global Inc.,,tech,https://www.sec.gov//Archives/edgar/data/64040/000006404023000058/0000064040-23-000058-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/64040/000006404023000058/spgi-20221231.htm
58,58,Caterpillar,$126.41 B,$244.83,18230,CAT,CATERPILLAR INC,,non_tech_unsure,,
59,59,ConocoPhillips,$125.87 B,$104.02,1163165,COP,CONOCOPHILLIPS,,non_tech_unsure,,
60,60,Union Pacific Corporation,$124.32 B,$203.91,1512544,ITTOY,ITOCHU Techno-Solutions Corporation/ADR,,tech,,
61,61,IBM,$121.89 B,$134.24,51143,IBM,INTERNATIONAL BUSINESS MACHINES CORP,,tech,https://www.sec.gov//Archives/edgar/data/51143/000155837023002376/0001558370-23-002376-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/51143/000155837023002376/ibm-20221231x10k.htm
62,62,Amgen,$120.69 B,$225.88,318154,AMGN,AMGEN INC,,tech,https://www.sec.gov//Archives/edgar/data/318154/000031815423000017/0000318154-23-000017-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/318154/000031815423000017/amgn-20221231.htm
63,63,Applied Materials,$119.46 B,$142.26,6951,AMAT,APPLIED MATERIALS INC /DE,,tech,https://www.sec.gov//Archives/edgar/data/6951/000000695122000043/0000006951-22-000043-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/6951/000000695122000043/amat-20221030.htm
