to_freeze_name,market_cap_rank,,Unnamed: 0,name,american_progress_list,market_cap,price,cik_str,ticker,title_searchable,title_confirmed,tech_or_non_tech,ten_k_document_link,actual_full_ten_k_document_link,most_recent_tax_benefits_from_stock_based_compensation_over_net_income,most_recent_tax_benefits_from_stock_based_compensation,tax_benefits_from_stock_based_compensation_2023,tax_benefits_from_stock_based_compensation_2022,tax_benefits_from_stock_based_compensation_2021,tax_benefits_from_stock_based_compensation_2020,tax_benefits_note,most_recent_stock_or_share_based_compensation,most_recent_stock_or_share_based_compensation_expounded,stock_or_share_based_compensation_end_of_2023,stock_or_share_based_compensation_end_of_2022,stock_or_share_based_compensation_end_of_2021,stock_or_share_based_compensation_end_of_2020,stock_notes,most_recent_tax_rates_low_or_above_ten,most_recent_tax_rates_low_or_above_ten_expounded,most_recent_tax_rates,most_recent_tax_rates_expounded,tax_rates_2023,tax_rates_2022,tax_rates_2021,tax_rates_2020,most_recent_net_income,most_recent_net_income_expounded,net_income_2023,net_income_2022,net_income_2021,net_income_2020,stock_based_compensation_as_a_portion_of_net_income
Apple,1,0,0,Apple,absent,$3.030 T,$191.33,320193,AAPL,Apple Inc.,apple inc. (aapl),tech,https://www.sec.gov//Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,-4,"-4,002",,"-4,002","-4,056","-2,476",,"9,280","9,280",,"9,280","8,108","6,975",,above_ten,above_ten,16.2,16.2,,16.2,13.3,14,"99,803","99,803",,"99,803","94,680","57,411",9
Microsoft,2,1,1,Microsoft,present,$2.533 T,$338.15,789019,MSFT,MICROSOFT CORP,,tech,https://www.sec.gov//Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,2,"1,293",,"1,293","1,065",938,,"7,502","7,502",,"7,502","6,118","5,289",,above_ten,above_ten,13.1,13.1,,13.1,13.8,17,"72,738","72,738",,"72,738","61,271","44,281",10
Alphabet (Google),3,2,2,Alphabet (Google),absent,$1.553 T,$122.63,1652044,GOOG,Alphabet Inc.,,tech,https://www.sec.gov//Archives/edgar/data/1652044/000165204423000016/0001652044-23-000016-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm,5,"2,700",,"2,700","3,100","3,900",,"19,362","19,362",,"19,362","15,376","12,991",,above_ten,above_ten,15.9,15.9,,15.9,16.2,,"59,972","59,972",,"59,972","76,033",,32
Amazon,4,3,3,Amazon,present,$1.337 T,$130.38,1018724,AMZN,AMAZON COM INC,,tech,https://www.sec.gov//Archives/edgar/data/1018724/000101872423000004/0001018724-23-000004-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm,9,"1,900",,"1,900","2,700","4,300",,"19,621","19,621",,"19,621",12757,9208,,,,,unclear,,unclear,unclear,unclear,"21,331","21,331",,"21,331","33,364","-2,722",92
NVIDIA,5,4,4,NVIDIA,absent,$1.045 T,$423.17,1045810,NVDA,NVIDIA CORP,,tech,https://www.sec.gov//Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm,-7,-309,-309,-337,-136,,,"2,709",2709,,"2,709","2,004","1,397",,,,,"Furthermore, the tax effects of accounting for stock-based compensation and volatility in our stock price may significantly impact our effective tax rate in the period in which they occur. A decline in our stock price may result in reduced future tax benefits from stock-based compensation, increase our effective tax rate, and adversely affect our financial results.",,"Furthermore, the tax effects of accounting for stock-based compensation and volatility in our stock price may significantly impact our effective tax rate in the period in which they occur. A decline in our stock price may result in reduced future tax benefits from stock-based compensation, increase our effective tax rate, and adversely affect our financial results.",,,"4,368","4,368","4,368","9,752","4,332",,62
Tesla,6,5,5,Tesla,absent,$895.32 B,$282.48,1318605,TSLA,"Tesla, Inc.",,tech,https://www.sec.gov//Archives/edgar/data/1318605/000095017023001409/0000950170-23-001409-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm,,,,,,,Our income tax benefits recognized from stock-based compensation arrangements in each of the periods presented were immaterial due to cumulative losses and valuation allowances.,"1,560","1,560",,"1,560","2,121","1,734",,low,low,8,8,,8,11,25,"12,587","12,587",,"12,587","5,644",862,12
Meta Platforms (Facebook),7,6,6,Meta Platforms (Facebook),absent,$756.63 B,$294.37,1326801,META,"Meta Platforms, Inc.",,tech,https://www.sec.gov//Archives/edgar/data/1326801/000132680123000013/0001326801-23-000013-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1326801/000132680123000013/meta-20221231.htm,9,2000,,2000,3080,"1,810",,"11,992",11992,,"11,992","9,164","6,536",,above_ten,above_ten,19.5,19.5,,19.5,16.7,12,"23,200","23,200",,"23,200","39,370","29,146",52
Berkshire Hathaway,8,7,7,Berkshire Hathaway,absent,$744.26 B,$341.56,1067983,BRK-B,BERKSHIRE HATHAWAY INC,,non_tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/1067983/000095017023004451/brka-20221231.htm,,,,,,,,,unclear,,unclear,unclear,unclear,,above_ten,above_ten,27.9,27.9,,27.9,18.7,22,"-22,058","-22,058",,"-22,058","90,807","43,253",
Visa,9,8,8,Visa,absent,$500.46 B,$239.45,1403161,V,VISA INC.,,tech,https://www.sec.gov//Archives/edgar/data/1403161/000140316122000081/0001403161-22-000081-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1403161/000140316122000081/v-20220930.htm,1,82,,82,73,63,,602,602,,602,542,416,,above_ten,above_ten,18,18,,18,23,21,"14,957","14,957",,"14,957","12,311","10,866",4
Eli Lilly,10,9,9,Eli Lilly,absent,$442.07 B,$465.70,59478,LLY,ELI LILLY & Co,,non_tech,https://www.sec.gov//Archives/edgar/data/59478/000005947823000082/0000059478-23-000082-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/59478/000005947823000082/lly-20221231.htm,1,78,,78,72,65,,371,371,,371,343,308,,low,low,8.3,8.3,,8.3,9.3,,"6,244.80","6,244.80",,"6,244.80","5,581.70","6,193.70",6
